treatment,question,rep_id,fdom_env_count,fdom_phenotype_score,fdom_max_phenotype_score,fdom_norm_phenotype_score,fdom_gestation_time,fdom_genome_length,-1000_phenotype_score,min_genome_size,fancy_name
Q3__Slip_DUP__MinGen_0,Q3,Q3__Slip_DUP__MinGen_0__rep_236,512,3072,4608,66.6666666667,2408.25,953.0,3072,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_218,16,0,64,0.0,60.0,53.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_212,16,16,64,25.0,165.0,118.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_220,16,0,64,0.0,150.0,94.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_201,16,0,64,0.0,49.0,42.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_244,16,0,64,0.0,55.0,48.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_233,16,0,64,0.0,60.0,52.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_239,16,64,64,100.0,331.0,187.0,64,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_234,16,64,64,100.0,537.0,312.0,64,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_243,16,0,64,0.0,57.0,49.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_249,16,0,64,0.0,69.0,61.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_206,16,32,64,50.0,1093.5,511.0,48,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_227,16,0,64,0.0,73.0,64.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_250,16,0,64,0.0,189.0,135.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_215,16,0,64,0.0,61.0,54.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_211,16,16,64,25.0,354.5,174.0,16,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_223,16,0,64,0.0,50.0,43.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_229,16,0,64,0.0,67.0,60.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_208,16,0,64,0.0,77.0,69.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_202,16,0,64,0.0,63.0,56.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_230,16,0,64,0.0,72.0,64.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_247,16,0,64,0.0,61.0,53.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_240,16,16,64,25.0,262.5,158.0,16,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_237,16,0,64,0.0,75.0,66.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_205,16,0,64,0.0,72.0,64.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_224,16,0,64,0.0,67.0,59.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_216,16,0,64,0.0,59.0,51.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_226,16,64,64,100.0,906.5,361.0,64,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_214,16,0,64,0.0,51.0,44.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_248,16,0,64,0.0,76.0,66.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_242,16,0,64,0.0,60.0,53.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_235,16,64,64,100.0,244.5,176.0,64,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_207,16,64,64,100.0,701.0,325.0,64,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_238,16,0,64,0.0,79.0,69.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_232,16,0,64,0.0,66.0,57.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_245,16,64,64,100.0,379.5,206.0,64,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_213,16,0,64,0.0,69.0,61.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_219,16,0,64,0.0,59.0,52.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_221,16,64,64,100.0,933.5,414.0,64,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_225,16,64,64,100.0,506.5,248.0,64,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_217,16,48,64,75.0,195.0,123.0,48,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_236,16,64,64,100.0,278.0,174.0,64,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_241,16,0,64,0.0,64.0,57.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_204,16,0,64,0.0,53.0,46.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_203,16,0,64,0.0,61.0,53.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_209,16,56,64,87.5,332.0,171.0,56,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_246,16,48,64,75.0,1144.0,454.0,48,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_231,16,0,64,0.0,72.0,64.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_210,16,0,64,0.0,76.0,67.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_228,16,0,64,0.0,62.0,55.0,0,0,Slip-duplicate
Q2__Slip_DUP__MinGen_0,Q2,Q2__Slip_DUP__MinGen_0__rep_222,16,48,64,75.0,363.0,189.0,48,0,Slip-duplicate
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_239,1,9,9,100.0,427.0,226.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_233,1,8,9,88.8888888889,1041.0,465.0,8,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_244,1,9,9,100.0,1246.0,554.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_201,1,9,9,100.0,858.0,383.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_220,1,0,9,0.0,69.0,61.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_212,1,9,9,100.0,303.0,165.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_218,1,0,9,0.0,67.0,59.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_215,1,6,9,66.6666666667,133.0,97.0,6,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_250,1,3,9,33.3333333333,106.0,89.0,3,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_227,1,5,9,55.5555555556,122.0,94.0,5,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_206,1,0,9,0.0,78.0,69.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_249,1,9,9,100.0,1028.0,433.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_243,1,7,9,77.7777777778,202.0,128.0,7,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_234,1,9,9,100.0,1043.0,491.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_247,1,9,9,100.0,353.0,213.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_230,1,7,9,77.7777777778,140.0,99.0,7,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_202,1,9,9,100.0,270.0,144.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_208,1,7,9,77.7777777778,588.0,333.0,7,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_229,1,9,9,100.0,1312.0,467.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_223,1,9,9,100.0,380.0,188.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_211,1,9,9,100.0,844.0,356.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_216,1,9,9,100.0,491.0,241.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_224,1,9,9,100.0,357.0,194.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_205,1,9,9,100.0,836.0,372.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_237,1,9,9,100.0,251.0,156.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_240,1,0,9,0.0,57.0,50.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_207,1,9,9,100.0,1286.0,470.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_235,1,9,9,100.0,932.0,411.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_242,1,0,9,0.0,62.0,54.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_248,1,8,9,88.8888888889,293.0,172.0,8,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_214,1,8,9,88.8888888889,1558.0,767.0,8,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_226,1,9,9,100.0,421.0,228.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_221,1,9,9,100.0,1269.0,522.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_219,1,9,9,100.0,657.0,325.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_213,1,0,9,0.0,73.0,65.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_245,1,7,9,77.7777777778,191.0,132.0,7,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_232,1,0,9,0.0,76.0,67.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_238,1,0,9,0.0,72.0,63.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_204,1,9,9,100.0,313.0,176.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_241,1,9,9,100.0,973.0,454.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_236,1,9,9,100.0,734.0,333.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_217,1,9,9,100.0,723.0,368.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_225,1,9,9,100.0,356.0,212.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_222,1,0,9,0.0,69.0,61.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_228,1,0,9,0.0,73.0,65.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_210,1,0,9,0.0,63.0,55.0,0,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_231,1,9,9,100.0,487.0,263.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_246,1,7,9,77.7777777778,228.0,130.0,7,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_209,1,9,9,100.0,575.0,275.0,9,0,Slip-scramble
Q1__Slip_SCRAM__MinGen_0,Q1,Q1__Slip_SCRAM__MinGen_0__rep_203,1,9,9,100.0,314.0,174.0,9,0,Slip-scramble
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_238,1,7,9,77.7777777778,291.0,145.0,7,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_245,1,0,9,0.0,33.0,26.0,0,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_232,1,8,9,88.8888888889,649.0,288.0,8,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_221,1,7,9,77.7777777778,134.0,82.0,7,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_213,1,0,9,0.0,34.0,27.0,0,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_219,1,0,9,0.0,38.0,30.0,0,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_214,1,7,9,77.7777777778,164.0,94.0,7,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_226,1,5,9,55.5555555556,124.0,71.0,5,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_207,1,6,9,66.6666666667,143.0,83.0,6,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_248,1,0,9,0.0,36.0,29.0,0,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_235,1,7,9,77.7777777778,142.0,85.0,7,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_242,1,5,9,55.5555555556,103.0,54.0,5,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_231,1,8,9,88.8888888889,608.0,290.0,8,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_246,1,0,9,0.0,33.0,26.0,0,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_203,1,9,9,100.0,1192.0,479.0,9,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_209,1,7,9,77.7777777778,558.0,235.0,7,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_228,1,0,9,0.0,36.0,29.0,0,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_222,1,6,9,66.6666666667,136.0,84.0,6,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_210,1,0,9,0.0,34.0,27.0,0,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_217,1,6,9,66.6666666667,169.0,92.0,6,0,Slip-NOP
Q1__Slip_NOP__MinGen_0,Q1,Q1__Slip_NOP__MinGen_0__rep_225,1,7,9,77.7777777778,165.0,92.0,7,0,Slip-NOP
